Variable,Coefficient,Standardized_Beta,Abs_Coefficient,Abs_Standardized_Beta
N26_Saldo_naleznosci,-0.008774409792861081,-0.6130399964985948,0.008774409792861081,0.6130399964985948
N29_Stan_zobowiazan_handlowych,0.008791549246249723,0.6108870685280731,0.008791549246249723,0.6108870685280731
N28_Stan_RMK_czynne,-0.009398659267656099,-0.14988260768024556,0.009398659267656099,0.14988260768024556
N30_RMK_bierne,0.013419378850693197,0.026122113898256583,0.013419378850693197,0.026122113898256583
N27_Stan_zapasow,-0.009428926260697823,-0.02254384712031367,0.009428926260697823,0.02254384712031367
N25_Fundusze_specjalne,-0.011356375661567717,-0.0017995440649853267,0.011356375661567717,0.0017995440649853267
