simulation_id,ROIC,N40_sales_capital_ratio,N32_working_capital,total_revenue,total_capital,N25_Fundusze_specjalne,N26_Saldo_naleznosci,N27_Stan_zapasow,N28_Stan_RMK_czynne,N29_Stan_zobowiazan_handlowych,N30_RMK_bierne
1,0.4065494240552112,5.42040118394467,59.31018984855036,356.59344172,65.78727839855036,0.5140859852571612,120.00672826624245,1.3663691585057651,12.334845303619181,70.15092296047041,3.7327439340894486
2,0.40100091722055997,5.34642461126704,60.22046498297527,356.59344172,66.69755353297528,0.5294023044244023,115.57154712360278,1.225551855495143,20.169856059823893,72.91465602537897,3.3024317261431726
3,0.2992391451275843,3.9896655131206744,82.90219413605062,356.59344172,89.37928268605063,0.44824829385097753,129.15762808483947,0.9029553357822895,18.287564922069787,61.613238322796505,3.384467589993424
4,0.296765992555362,3.956691713780772,83.64705240291269,356.59344172,90.1241409529127,0.5059811057892354,127.87910023758585,0.5040919431855478,16.221961731618165,56.96384817316441,3.4882722305232328
5,0.855275723774549,11.403133964634812,24.794441086144197,356.59344172,31.271529636144198,0.43822684237688053,94.68319165836955,1.1512366854209268,17.75230109973862,85.03028636475973,3.3237751502482875
6,0.4628065092393718,6.170459979000516,51.313326254336936,356.59344172,57.79041480433693,0.44203853831681017,104.84528954344053,0.6628767960184452,22.416480322849132,73.5272812059377,2.6420006637166633
7,0.25811090189343083,3.441315017143352,97.144184115706,356.59344172,103.621272665706,0.4671917120070108,127.5130287294019,0.2806251164246368,13.514891218460422,41.24634129960649,2.450827936967466
8,0.3775077198022945,5.033196876664916,64.37121133933097,356.59344172,70.84829988933097,0.49983251599742307,86.75251237275089,1.8319394756517466,18.828749976693075,39.168414483033615,3.3737434867337033
9,0.30247958426147087,4.0328693133932685,81.94468116511165,356.59344172,88.42176971511165,0.4833437058488867,130.0678453144579,1.6894705196836757,22.829664737620902,69.48982269881094,2.669133001991029
10,0.3731166244083455,4.974651722585587,65.20500330399209,356.59344172,71.68209185399209,0.5211853255017717,124.49745398266653,1.8682953429885396,17.78688574679125,75.54926834751234,2.877178095440131
11,0.5119840453371419,6.8261292755621925,45.76239114995504,356.59344172,52.23947969995504,0.43047851544187365,118.39426746795195,0.4075218485166082,13.804886879947599,83.25661980792918,3.157186723090045
12,0.47232655503192605,6.297387885995068,50.14852323945922,356.59344172,56.62561178945922,0.4422299586140064,92.49146662709214,1.1590403529538467,16.448172459744875,56.882298019451,2.6256282222666276
